"Name","Address","Company","Signal Level","Frequency","Channel","Security","Cipher","BSS Type","WPS Support","Time","Longitude","Latitude"
"BIOLABSNC","54:78:1A:65:CB:39","Cisco","-61","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/11/18 16:46:06","-78.93821","36.00734"
"clubs","54:78:1A:65:CB:30","Cisco","-61","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/18 16:46:06","-78.93821","36.00734"
"kings","54:78:1A:65:CB:38","Cisco","-61","2412","1","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","No","2018/11/18 16:46:06","-78.93821","36.00734"
"aces","54:78:1A:65:CB:3A","Cisco","-61","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/11/18 16:46:06","-78.93821","36.00734"
"clubs","54:78:1A:65:C9:30","Cisco","-63","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/11/18 16:46:04","-78.93821","36.00734"
"kings","54:78:1A:65:C9:38","Cisco","-63","2437","6","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","No","2018/11/18 16:46:04","-78.93821","36.00734"
"clubs","54:78:1A:42:16:80","Cisco","-55","2462","11","WPA2-EAP","CCMP","Infrastructure","No","2018/11/18 16:46:06","-78.93821","36.00734"
"Dukeblue","54:78:1A:42:16:8C","Cisco","-54","2462","11","WPA-EAP + WPA2-EAP","TKIP + CCMP","Infrastructure","No","2018/11/18 16:46:06","-78.93821","36.00734"
"kings","54:78:1A:42:16:88","Cisco","-55","2462","11","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","No","2018/11/18 16:46:06","-78.93821","36.00734"
"guest","54:78:1A:65:CB:36","Cisco","-61","2412","1","None","None","Infrastructure","No","2018/11/18 16:46:09","-78.93821","36.00734"
"Dukeblue","54:78:1A:65:C9:3C","Cisco","-62","2437","6","WPA-EAP + WPA2-EAP","TKIP + CCMP","Infrastructure","No","2018/11/18 16:46:07","-78.93821","36.00734"
"BIOLABSNC","54:78:1A:65:C9:39","Cisco","-61","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/11/18 16:46:04","-78.93821","36.00734"
"aces","54:78:1A:65:C9:3A","Cisco","-62","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/11/18 16:46:07","-78.93821","36.00734"
"aces","54:78:1A:42:16:8A","Cisco","-54","2462","11","WPA2-PSK","CCMP","Infrastructure","No","2018/11/18 16:46:07","-78.93821","36.00734"
"BIOLABSNC","54:78:1A:42:16:89","Cisco","-55","2462","11","WPA2-PSK","CCMP","Infrastructure","No","2018/11/18 16:46:06","-78.93821","36.00734"
"guest","54:78:1A:65:C9:36","Cisco","-61","2437","6","None","None","Infrastructure","No","2018/11/18 16:46:07","-78.93821","36.00734"
"Dukeblue","54:78:1A:65:CB:3C","Cisco","-62","2412","1","WPA-EAP + WPA2-EAP","TKIP + CCMP","Infrastructure","No","2018/11/18 16:46:06","-78.93821","36.00734"
"kings","54:78:1A:65:C4:98","Cisco","-54","2412","1","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","No","2018/11/18 16:46:05","-78.93821","36.00734"
"","54:78:1A:65:C9:3B","Cisco","-62","2437","6","None","None","Infrastructure","No","2018/11/18 16:46:04","-78.93821","36.00734"
"Dukeblue","54:78:1A:65:C4:9C","Cisco","-55","2412","1","WPA-EAP + WPA2-EAP","TKIP + CCMP","Infrastructure","No","2018/11/18 16:46:07","-78.93821","36.00734"
"guest","54:78:1A:42:16:86","Cisco","-54","2462","11","None","None","Infrastructure","No","2018/11/18 16:46:07","-78.93821","36.00734"
"BIOLABSNC","54:78:1A:65:C4:99","Cisco","-54","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/11/18 16:46:05","-78.93821","36.00734"
"aces","54:78:1A:65:C4:9A","Cisco","-54","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/11/18 16:46:07","-78.93821","36.00734"
"clubs","54:78:1A:65:C4:90","Cisco","-54","2412","1","WPA2-EAP","CCMP","Infrastructure","No","2018/11/18 16:46:05","-78.93821","36.00734"
"guest","54:78:1A:65:C4:96","Cisco","-54","2412","1","None","None","Infrastructure","No","2018/11/18 16:46:07","-78.93821","36.00734"
"","54:78:1A:65:C4:94","Cisco","-56","2412","1","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","No","2018/11/18 16:46:03","-78.93821","36.00734"
"Dukeblue","20:3A:07:49:F7:8C","Cisco","-39","2437","6","WPA-EAP + WPA2-EAP","TKIP + CCMP","Infrastructure","No","2018/11/18 16:13:51","-78.93594","36.00572"
"aces","20:3A:07:49:F7:8A","Cisco","-39","2437","6","WPA2-PSK","CCMP","Infrastructure","No","2018/11/18 16:13:51","-78.93594","36.00572"
"kings","20:3A:07:49:F7:88","Cisco","-39","2437","6","WPA-PSK + WPA2-PSK","TKIP + CCMP","Infrastructure","No","2018/11/18 16:13:51","-78.93594","36.00572"
"clubs","20:3A:07:49:F7:80","Cisco","-38","2437","6","WPA2-EAP","CCMP","Infrastructure","No","2018/11/18 16:13:51","-78.93594","36.00572"
"BIOLABSNC","88:75:56:C7:8C:C9","Cisco","-39","2412","1","WPA2-PSK","CCMP","Infrastructure","No","2018/11/18 16:45:36","-78.93821","36.00734"
